epoch,train_loss,val_loss,val_word_acc,lr,seconds
1,1.8102327908310016,1.1675477093020472,0.15259308510638298,0.0009652358451779577,332.80419850349426
2,1.0748725489828048,0.8536601064782897,0.5877659574468085,0.000707038908709034,329.43410897254944
3,0.87234160940751,0.8232423375568061,0.6622340425531915,0.0005772948515437969,329.5975487232208
4,0.8406537520708339,0.8139609205836544,0.6891622340425532,0.0004999520069108943,329.0146863460541
5,0.8272189401402569,0.806456157099464,0.714095744680851,0.00044717066917608167,329.23987007141113
6,0.8193747909386236,0.8031316220105734,0.7253989361702128,0.0004082091042707,328.8233997821808
7,0.8142382072264972,0.8007614056843958,0.7347074468085106,0.00037792819364396336,328.8087046146393
8,0.8105906706524102,0.7987252406713096,0.7367021276595744,0.000353519454354517,328.7365438938141
9,0.807695098239,0.7973335517037347,0.7496675531914894,0.0003333013379405962,328.92098116874695
10,0.8053218078328309,0.796052485431208,0.75,0.00031619741252213364,328.7825880050659
11,0.8032895474803791,0.7949416663451511,0.7589760638297872,0.0003014824036561102,328.70407605171204
12,0.8016417332953653,0.7942798762579361,0.761968085106383,0.0002886474257718984,328.8598449230194
13,0.8003242506937497,0.7936703105602095,0.7589760638297872,0.00027732347633667014,328.66743636131287
14,0.7991001080183913,0.7928136032900182,0.7682845744680851,0.0002672355885272292,329.1231880187988
15,0.797924845523089,0.7924714971769352,0.7646276595744681,0.0002581741062225159,329.58524227142334
