epoch,train_loss,val_loss,val_word_acc,lr,seconds
1,0.2112937018690347,0.08166556084007674,0.6625664893617021,0.001,496.93035340309143
2,0.09049748882633939,0.06678061160590472,0.7107712765957447,0.001,497.8660707473755
3,0.08155246127879616,0.06275336473464777,0.723404255319149,0.001,497.0618884563446
4,0.07812149850596958,0.06069813718553139,0.7340425531914894,0.001,496.6386806964874
5,0.07510121978426135,0.05622715419094919,0.7456781914893617,0.001,495.71538400650024
6,0.07419042443025001,0.05577855551432291,0.75,0.001,496.18744683265686
7,0.07549325724080112,0.055462694294217886,0.7446808510638298,0.001,495.9644498825073
8,0.07441547262559646,0.05518407949335148,0.7486702127659575,0.001,495.9802875518799
9,0.07541710627309353,0.05451338433159611,0.7613031914893617,0.001,495.4270119667053
10,0.07635948316091057,0.05489668710933092,0.754654255319149,0.001,495.6041190624237
11,0.07651296127071594,0.054796569211984246,0.7549867021276596,0.001,495.6279091835022
12,0.07723370365144086,0.0540736208835049,0.758311170212766,0.001,496.14465856552124
13,0.0791440409394182,0.05412497975365125,0.7662898936170213,0.001,495.76471185684204
14,0.08136054486894,0.0542724266905901,0.7613031914893617,0.001,495.65303111076355
15,0.08233021978818714,0.05416130860161997,0.758311170212766,0.0005,495.5934958457947
